OUI	Manufacturer	Registry	Short_Name	Registered_Date	Sources
5C:EB:4E	R. STAHL HMI Systems GmbH	MA-L	RSTAHLHMI	2011-10-20	IEEE+Wireshark+Nmap
94:3A:F0	Nokia Corporation	MA-L	Nokia	2011-10-27	IEEE+Wireshark+Nmap
04:63:E0	Nome Oy	MA-L	Nome	2011-11-15	IEEE+Wireshark+Nmap
94:0B:2D	NetView Technologies(Shenzhen) Co., Ltd	MA-L	NetViewTechn	2011-09-03	IEEE+Wireshark+Nmap
30:6E:5C	Validus Technologies	MA-L	ValidusTechn	2011-09-02	IEEE+Wireshark+Nmap
C8:94:D2	Jiangsu Datang Electronic Products Co., Ltd	MA-L	JiangsuDatan	2011-09-02	IEEE+Wireshark+Nmap
BC:FE:8C	Altronic, LLC	MA-L	Altronic	2011-10-06	IEEE+Wireshark+Nmap
64:9E:F3	Cisco Systems, Inc	MA-L	Cisco	2011-10-06	IEEE+Wireshark+Nmap
24:BB:C1	Absolute Analysis	MA-L	AbsoluteAnal	2011-10-05	IEEE+Wireshark+Nmap
9C:CA:D9	Nokia Corporation	MA-L	Nokia	2011-09-22	IEEE+Wireshark+Nmap
04:6D:42	Bryston Ltd.	MA-L	Bryston	2011-09-22	IEEE+Wireshark+Nmap
D8:E7:43	Wush, Inc	MA-L	Wush	2011-09-20	IEEE+Wireshark+Nmap
80:94:6C	Tokyo Radar Corporation	MA-L	TokyoRadar	2011-09-29	IEEE+Wireshark+Nmap
3C:E6:24	LG Display	MA-L	LGDisplay	2011-09-24	IEEE+Wireshark+Nmap
D8:F0:F2	Zeebo Inc	MA-L	Zeebo	2011-09-24	IEEE+Wireshark+Nmap
64:4D:70	dSPACE GmbH	MA-L	dSPACE	2011-09-17	IEEE+Wireshark+Nmap
D0:CF:5E	Energy Micro AS	MA-L	EnergyMicroA	2011-09-17	IEEE+Wireshark+Nmap
DC:C1:01	SOLiD Technologies, Inc.	MA-L	SOLiDTechnol	2011-09-17	IEEE+Wireshark+Nmap
08:0D:84	GECO, Inc.	MA-L	GECO	2011-10-11	IEEE+Wireshark+Nmap
88:E7:12	Whirlpool Corporation	MA-L	Whirlpool	2011-10-11	IEEE+Wireshark+Nmap
D4:12:BB	Quadrant Components Inc. Ltd	MA-L	QuadrantComp	2011-10-07	IEEE+Wireshark+Nmap
80:60:07	Rim	MA-L	Rim	2011-09-10	IEEE+Wireshark+Nmap
94:E0:D0	HealthStream Taiwan Inc.	MA-L	HealthStream	2011-09-08	IEEE+Wireshark+Nmap
DC:F8:58	Lorent Networks, Inc.	MA-L	LorentNetwor	2011-09-08	IEEE+Wireshark+Nmap
18:03:FA	IBT Interfaces	MA-L	IBTInterface	2011-09-15	IEEE+Wireshark+Nmap
D8:05:2E	Skyviia Corporation	MA-L	Skyviia	2011-09-29	IEEE+Wireshark+Nmap
18:38:25	Wuhan Lingjiu High-tech Co.,Ltd.	MA-L	LingjiuHight	2011-08-16	IEEE+Wireshark+Nmap
7C:4B:78	Red Sun Synthesis Pte Ltd	MA-L	RedSunSynthe	2011-08-16	IEEE+Wireshark+Nmap
64:A0:E7	Cisco Systems, Inc	MA-L	Cisco	2011-08-11	IEEE+Wireshark+Nmap
EC:62:64	Global411 Internet Services, LLC	MA-L	Global411Int	2011-08-10	IEEE+Wireshark+Nmap
00:F0:51	KWB Gmbh	MA-L	KWB	2011-08-10	IEEE+Wireshark+Nmap
CC:EF:48	Cisco Systems, Inc	MA-L	Cisco	2011-07-23	IEEE+Wireshark+Nmap
24:37:EF	EMC Electronic Media Communication SA	MA-L	EMCElectroni	2011-07-20	IEEE+Wireshark+Nmap
28:B0:CC	Xenya d.o.o.	MA-L	Xenyadoo	2011-07-19	IEEE+Wireshark+Nmap
20:5B:5E	Shenzhen Wonhe Technology Co., Ltd	MA-L	WonheTechnol	2011-07-19	IEEE+Wireshark+Nmap
B0:E5:0E	Nrg Systems Inc	MA-L	Nrg	2011-08-02	IEEE+Wireshark+Nmap
48:C1:AC	Plantronics, Inc.	MA-L	Plantronics	2011-07-30	IEEE+Wireshark+Nmap
98:58:8A	SYSGRATION Ltd.	MA-L	SYSGRATION	2011-07-30	IEEE+Wireshark+Nmap
94:31:9B	Alphatronics BV	MA-L	Alphatronics	2011-07-27	IEEE+Wireshark+Nmap
E8:78:A1	Beoview Intercom Doo	MA-L	BeoviewInter	2011-07-26	IEEE+Wireshark+Nmap
80:3F:5D	Winstars Technology Ltd	MA-L	WinstarsTech	2011-08-25	IEEE+Wireshark+Nmap
40:BF:17	Digistar Telecom. SA	MA-L	DigistarTele	2011-08-25	IEEE+Wireshark+Nmap
78:07:38	Z.U.K. Elzab S.A.	MA-L	ZUKElzab	2011-08-25	IEEE+Wireshark+Nmap
20:37:BC	Kuipers Electronic Engineering BV	MA-L	KuipersElect	2011-08-23	IEEE+Wireshark+Nmap
C8:A6:20	Nebula, Inc	MA-L	Nebula	2011-09-01	IEEE+Wireshark+Nmap
FC:94:6C	Ubivelox	MA-L	Ubivelox	2011-09-01	IEEE+Wireshark+Nmap
40:7B:1B	Mettle Networks Inc.	MA-L	MettleNetwor	2011-09-01	IEEE+Wireshark+Nmap
48:9B:E2	SCI Innovations Ltd	MA-L	SCIInnovatio	2011-08-04	IEEE+Wireshark+Nmap
80:FF:A8	Unidis	MA-L	Unidis	2011-08-05	IEEE+Wireshark+Nmap
40:D5:59	Micro S.E.R.I.	MA-L	MicroSERI	2011-08-27	IEEE+Wireshark+Nmap
30:6C:BE	Skymotion Technology (HK) Limited	MA-L	SkymotionTec	2011-08-27	IEEE+Wireshark+Nmap
88:6B:76	China Hopeful Group Hopeful Electric Co.,Ltd	MA-L	ChinaHopeful	2011-07-02	IEEE+Wireshark+Nmap
78:F7:D0	Silverbrook Research	MA-L	SilverbrookR	2011-07-02	IEEE+Wireshark+Nmap
20:76:00	Actiontec Electronics, Inc	MA-L	ActiontecEle	2011-07-02	IEEE+Wireshark+Nmap
F0:4B:6A	Scientific Production Association Siberian Arsenal, Ltd.	MA-L	ScientificPr	2011-07-02	IEEE+Wireshark+Nmap
64:AE:0C	Cisco Systems, Inc	MA-L	Cisco	2011-06-30	IEEE+Wireshark+Nmap
00:E1:75	AK-Systems Ltd	MA-L	AK	2011-07-07	IEEE+Wireshark+Nmap
CC:50:1C	KVH Industries, Inc.	MA-L	KVHIndustrie	2011-07-07	IEEE+Wireshark+Nmap
04:D7:83	Y&H E&C Co.,LTD.	MA-L	Y&HE&C	2011-07-07	IEEE+Wireshark+Nmap
C8:3B:45	Jri	MA-L	Jri	2011-07-12	IEEE+Wireshark+Nmap
C0:58:A7	Pico Systems Co., Ltd.	MA-L	Pico	2011-07-09	IEEE+Wireshark+Nmap
EC:3F:05	Institute 706, The Second Academy China Aerospace Science & Industry Corp	MA-L	Institute706	2011-07-09	IEEE+Wireshark+Nmap
E8:DA:96	Zhuhai Tianrui Electrical Power Tech. Co., Ltd.	MA-L	ZhuhaiTianru	2011-06-30	IEEE+Wireshark+Nmap
F0:13:C3	Shenzhen Fenda Technology Co., Ltd	MA-L	FendaTechnol	2011-06-30	IEEE+Wireshark+Nmap
04:A8:2A	Nokia Corporation	MA-L	Nokia	2011-06-30	IEEE+Wireshark+Nmap
E4:4E:18	Gardasoft VisionLimited	MA-L	GardasoftVis	2011-06-30	IEEE+Wireshark+Nmap
14:8A:70	ADS GmbH	MA-L	ADS	2011-06-08	IEEE+Wireshark+Nmap
B4:D8:DE	iota Computing, Inc.	MA-L	iotaComputin	2011-06-08	IEEE+Wireshark+Nmap
C8:90:3E	Pakton Technologies	MA-L	PaktonTechno	2011-06-07	IEEE+Wireshark+Nmap
DC:2E:6A	HCT. Co., Ltd.	MA-L	HCT	2011-06-14	IEEE+Wireshark+Nmap
20:46:A1	VECOW Co., Ltd	MA-L	VECOW	2011-06-23	IEEE+Wireshark+Nmap
FC:01:CD	Fundacion Tekniker	MA-L	FundacionTek	2011-06-23	IEEE+Wireshark+Nmap
9C:8B:F1	The Warehouse Limited	MA-L	Warehouse	2011-06-22	IEEE+Wireshark+Nmap
00:B3:38	Kontron Asia Pacific Design Sdn. Bhd	MA-L	KontronAsiaP	2011-06-18	IEEE+Wireshark+Nmap
E4:35:FB	Sabre Technology (Hull) Ltd	MA-L	SabreTechnol	2011-07-12	IEEE+Wireshark+Nmap
F0:02:2B	Chrontel	MA-L	Chrontel	2011-05-18	IEEE+Wireshark+Nmap
B8:28:8B	Parker Hannifin Manufacturing (UK) Ltd	MA-L	ParkerHannif	2011-05-13	IEEE+Wireshark+Nmap
90:D1:1B	Palomar Medical Technologies	MA-L	PalomarMedic	2011-05-14	IEEE+Wireshark+Nmap
A0:6E:50	Nanotek Elektronik Sistemler Ltd. Sti.	MA-L	NanotekElekt	2011-06-01	IEEE+Wireshark+Nmap
84:24:8D	Zebra Technologies Inc	MA-L	ZebraTechnol	2011-05-28	IEEE+Wireshark+Nmap
FC:E8:92	Hangzhou Lancable Technology Co.,Ltd	MA-L	LancableTech	2011-05-28	IEEE+Wireshark+Nmap
34:A5:5D	Technosoft International Srl	MA-L	TechnosoftIn	2011-05-05	IEEE+Wireshark+Nmap
4C:77:4F	Embedded Wireless Labs	MA-L	EmbeddedWire	2011-05-04	IEEE+Wireshark+Nmap
EC:BD:09	FUSION Electronics Ltd	MA-L	FUSIONElectr	2011-05-11	IEEE+Wireshark+Nmap
94:46:96	BaudTec Corporation	MA-L	BaudTec	2011-05-11	IEEE+Wireshark+Nmap
54:84:7B	Digital Devices GmbH	MA-L	DigitalDevic	2011-05-10	IEEE+Wireshark+Nmap
84:3F:4E	Tri-Tech Manufacturing, Inc.	MA-L	TriTechManuf	2011-05-21	IEEE+Wireshark+Nmap
C8:32:32	Hunting Innova	MA-L	HuntingInnov	2011-05-20	IEEE+Wireshark+Nmap
D4:53:AF	VIGO System S.A.	MA-L	VIGOSystem	2011-05-28	IEEE+Wireshark+Nmap
18:AD:4D	Polostar Technology Corporation	MA-L	PolostarTech	2011-05-27	IEEE+Wireshark+Nmap
10:71:F9	Cloud Telecomputers, LLC	MA-L	CloudTelecom	2011-05-25	IEEE+Wireshark+Nmap
B8:62:1F	Cisco Systems, Inc	MA-L	Cisco	2011-05-25	IEEE+Wireshark+Nmap
94:C6:EB	NOVA electronics, Inc.	MA-L	NOVAelectron	2011-05-26	IEEE+Wireshark+Nmap
54:94:78	Silvershore Technology Partners	MA-L	SilvershoreT	2011-05-26	IEEE+Wireshark+Nmap
54:CD:A7	Fujian Shenzhou Electronic Co.,Ltd	MA-L	FujianShenzh	2011-06-04	IEEE+Wireshark+Nmap
3C:27:63	SLE quality engineering GmbH & Co. KG	MA-L	SLEqualityen	2011-04-30	IEEE+Wireshark+Nmap
B0:F1:BC	Dhemax Ingenieros Ltda	MA-L	DhemaxIngeni	2011-04-30	IEEE+Wireshark+Nmap
50:8A:CB	Shenzhen Maxmade Technology Co., Ltd.	MA-L	MaxmadeTechn	2011-04-27	IEEE+Wireshark+Nmap
D0:C2:82	Cisco Systems, Inc	MA-L	Cisco	2011-05-04	IEEE+Wireshark+Nmap
14:7D:B3	Joa Telecom.Co.,Ltd	MA-L	JoaTelecom	2011-05-03	IEEE+Wireshark+Nmap
3C:D1:6E	Telepower Communication Co., Ltd	MA-L	TelepowerCom	2011-04-15	IEEE+Wireshark+Nmap
40:04:0C	A&T	MA-L	A&T	2011-04-22	IEEE+Wireshark+Nmap
94:8F:EE	Verizon Telematics	MA-L	VerizonTelem	2011-03-30	IEEE+Wireshark+Nmap
50:D6:D7	Takahata Precision	MA-L	TakahataPrec	2011-03-30	IEEE+Wireshark+Nmap
00:FC:70	Intrepid Control Systems, Inc.	MA-L	IntrepidCont	2011-03-26	IEEE+Wireshark+Nmap
70:4A:AE	Xstream Flow (Pty) Ltd	MA-L	XstreamFlow	2011-04-09	IEEE+Wireshark+Nmap
40:B3:FC	Logital Co. Limited	MA-L	Logital	2011-04-08	IEEE+Wireshark+Nmap
DC:3C:84	Ticom Geomatics, Inc.	MA-L	TicomGeomati	2011-04-05	IEEE+Wireshark+Nmap
D0:13:1E	Sunrex Technology Corp	MA-L	SunrexTechno	2011-04-05	IEEE+Wireshark+Nmap
C4:0F:09	Hermes electronic GmbH	MA-L	Hermeselectr	2011-04-02	IEEE+Wireshark+Nmap
80:2E:14	azeti Networks AG	MA-L	azetiNetwork	2011-04-15	IEEE+Wireshark+Nmap
D4:C1:FC	Nokia Corporation	MA-L	Nokia	2011-04-15	IEEE+Wireshark+Nmap
34:BC:A6	Beijing Ding Qing Technology, Ltd.	MA-L	DingQingTech	2011-04-15	IEEE+Wireshark+Nmap
58:35:D9	Cisco Systems, Inc	MA-L	Cisco	2011-04-15	IEEE+Wireshark+Nmap
64:D9:12	Solidica, Inc.	MA-L	Solidica	2011-04-12	IEEE+Wireshark+Nmap
C4:7B:2F	Beijing JoinHope Image Technology Ltd.	MA-L	JoinHopeImag	2011-04-12	IEEE+Wireshark+Nmap
FC:2E:2D	Lorom Industrial Co.LTD.	MA-L	LoromIndustr	2011-04-16	IEEE+Wireshark+Nmap
58:75:21	CJSC RTSoft	MA-L	CJSCRTSoft	2011-04-01	IEEE+Wireshark+Nmap
18:E2:88	STT Condigi	MA-L	STTCondigi	2011-03-08	IEEE+Wireshark+Nmap
B4:35:F7	Zhejiang Pearmain Electronics Co.ltd.	MA-L	ZhejiangPear	2011-03-08	IEEE+Wireshark+Nmap
98:66:EA	Industrial Control Communications, Inc.	MA-L	IndustrialCo	2011-03-05	IEEE+Wireshark+Nmap
98:30:00	Beijing KEMACOM Technologies Co., Ltd.	MA-L	KEMACOMTechn	2011-03-04	IEEE+Wireshark+Nmap
90:CF:15	Nokia Corporation	MA-L	Nokia	2011-03-03	IEEE+Wireshark+Nmap
F0:81:AF	Irz Automation Technologies Ltd	MA-L	IrzAutomatio	2011-02-24	IEEE+Wireshark+Nmap
70:14:04	Limited Liability Company	MA-L	LimitedLiabi	2011-02-24	IEEE+Wireshark+Nmap
1C:35:F1	NEW Lift Neue Elektronische Wege Steuerungsbau GmbH	MA-L	NEWLiftNeueE	2011-02-23	IEEE+Wireshark+Nmap
80:34:57	OT Systems Limited	MA-L	OT	2011-02-23	IEEE+Wireshark+Nmap
B0:99:28	Fujitsu Limited	MA-L	Fujitsu	2011-03-23	IEEE+Wireshark+Nmap
04:E1:C8	IMS Soluções em Energia Ltda.	MA-L	IMSSoluçõese	2011-03-18	IEEE+Wireshark+Nmap
94:8B:03	EAGET Innovation and Technology Co., Ltd.	MA-L	EAGETInnovat	2011-03-01	IEEE+Wireshark+Nmap
48:F4:7D	TechVision Holding Internation Limited	MA-L	TechVisionIn	2011-02-26	IEEE+Wireshark+Nmap
70:3A:D8	Shenzhen Afoundry Electronic Co., Ltd	MA-L	AfoundryElec	2011-03-25	IEEE+Wireshark+Nmap
88:F0:77	Cisco Systems, Inc	MA-L	Cisco	2011-03-24	IEEE+Wireshark+Nmap
2C:00:33	EControls, LLC	MA-L	EControls	2011-03-10	IEEE+Wireshark+Nmap
AC:19:9F	Sungrow Power Supply Co.,Ltd.	MA-L	SungrowPower	2011-03-10	IEEE+Wireshark+Nmap
7C:4A:82	Portsmith LLC	MA-L	Portsmith	2011-03-12	IEEE+Wireshark+Nmap
AC:5E:8C	Utillink	MA-L	Utillink	2011-03-16	IEEE+Wireshark+Nmap
94:E8:48	Fylde Micro Ltd	MA-L	FyldeMicro	2011-03-18	IEEE+Wireshark+Nmap
94:AA:B8	Joview(Beijing) Technology Co. Ltd.	MA-L	JoviewTechno	2011-01-20	IEEE+Wireshark+Nmap
28:F3:58	2C - Trifonov & Co	MA-L	2CTrifonov	2011-01-20	IEEE+Wireshark+Nmap
30:1A:28	Mako Networks Ltd	MA-L	MakoNetworks	2011-01-20	IEEE+Wireshark+Nmap
38:31:AC	Weg	MA-L	Weg	2011-01-14	IEEE+Wireshark+Nmap
58:4C:19	Chongqing Guohong Technology Development Company Limited	MA-L	ChongqingGuo	2011-01-14	IEEE+Wireshark+Nmap
3C:A7:2B	MRV Communications (Networks) LTD	MA-L	MRVCommunica	2011-01-22	IEEE+Wireshark+Nmap
28:51:32	Shenzhen Prayfly Technology Co.,Ltd	MA-L	PrayflyTechn	2011-01-21	IEEE+Wireshark+Nmap
E4:2F:F6	Unicore communication Inc.	MA-L	Unicorecommu	2011-01-21	IEEE+Wireshark+Nmap
84:D9:C8	Unipattern Co.,	MA-L	Unipattern	2011-01-21	IEEE+Wireshark+Nmap
B8:0B:9D	ROPEX Industrie-Elektronik GmbH	MA-L	ROPEXIndustr	2011-02-04	IEEE+Wireshark+Nmap
50:70:E5	He Shan World Fair Electronics Technology Limited	MA-L	HeShanWorldF	2011-02-02	IEEE+Wireshark+Nmap
80:22:75	Beijing Beny Wave Technology Co Ltd	MA-L	BenyWaveTech	2011-02-01	IEEE+Wireshark+Nmap
24:C8:6E	Chaney Instrument Co.	MA-L	ChaneyInstru	2011-02-09	IEEE+Wireshark+Nmap
F0:AE:51	Xi3 Corp	MA-L	Xi3	2011-02-04	IEEE+Wireshark+Nmap
14:F0:C5	Xtremio Ltd.	MA-L	Xtremio	2011-01-27	IEEE+Wireshark+Nmap
E8:C2:29	H-Displays (MSC) Bhd	MA-L	HDisplaysBhd	2011-01-25	IEEE+Wireshark+Nmap
5C:0C:BB	CELIZION Inc.	MA-L	CELIZION	2011-02-15	IEEE+Wireshark+Nmap
30:61:18	Paradom Inc.	MA-L	Paradom	2011-01-29	IEEE+Wireshark+Nmap
4C:73:67	Genius Bytes Software Solutions GmbH	MA-L	GeniusBytesS	2011-01-28	IEEE+Wireshark+Nmap
90:EA:60	SPI Lasers Ltd	MA-L	SPILasers	2011-01-27	IEEE+Wireshark+Nmap
C4:24:2E	Galvanic Applied Sciences Inc	MA-L	GalvanicAppl	2011-02-12	IEEE+Wireshark+Nmap
F8:EA:0A	Dipl.-Math. Michael Rauch	MA-L	DiplMathMich	2011-02-11	IEEE+Wireshark+Nmap
CC:F3:A5	Chi Mei Communication Systems, Inc	MA-L	ChiMeiCommun	2011-02-17	IEEE+Wireshark+Nmap
14:A9:E3	Mst Corporation	MA-L	Mst	2011-02-16	IEEE+Wireshark+Nmap
14:B7:3D	ARCHEAN Technologies	MA-L	ARCHEANTechn	2010-12-17	IEEE+Wireshark+Nmap
94:8D:50	Beamex Oy Ab	MA-L	Beamex	2010-12-16	IEEE+Wireshark+Nmap
A4:33:D1	Fibrlink Communications Co.,Ltd.	MA-L	FibrlinkComm	2010-12-14	IEEE+Wireshark+Nmap
64:69:BC	Hytera Communications Co.,ltd	MA-L	HyteraCommun	2011-01-14	IEEE+Wireshark+Nmap
B4:F3:23	Petatel Inc.	MA-L	Petatel	2011-01-13	IEEE+Wireshark+Nmap
14:C2:1D	Sabtech Industries	MA-L	SabtechIndus	2011-01-13	IEEE+Wireshark+Nmap
C8:84:39	Sunrise Technologies	MA-L	SunriseTechn	2011-01-11	IEEE+Wireshark+Nmap
F0:C2:7C	Mianyang Netop Telecom Equipment Co.,Ltd.	MA-L	MianyangNeto	2010-12-18	IEEE+Wireshark+Nmap
28:34:10	Enigma Diagnostics Limited	MA-L	EnigmaDiagno	2010-12-17	IEEE+Wireshark+Nmap
0C:E8:2F	Bonfiglioli Vectron GmbH	MA-L	BonfiglioliV	2010-12-18	IEEE+Wireshark+Nmap
40:F4:EC	Cisco Systems, Inc	MA-L	Cisco	2010-12-17	IEEE+Wireshark+Nmap
A4:1B:C0	Fastec Imaging Corporation	MA-L	FastecImagin	2010-12-04	IEEE+Wireshark+Nmap
20:5B:2A	Private	MA-L	Private	2010-12-02	IEEE+Wireshark+Nmap
F4:03:21	BeNeXt B.V.	MA-L	BeNeXt	2010-12-03	IEEE+Wireshark+Nmap
A0:71:A9	Nokia Corporation	MA-L	Nokia	2010-12-02	IEEE+Wireshark+Nmap
A4:E3:2E	Silicon & Software Systems Ltd.	MA-L	SiliconSoftw	2010-12-02	IEEE+Wireshark+Nmap
5C:BD:9E	Hongkong Miracle Eagle Technology(Group) Limited	MA-L	HongkongMira	2010-12-01	IEEE+Wireshark+Nmap
F0:BF:97	Sony Corporation	MA-L	Sony	2010-12-24	IEEE+Wireshark+Nmap
C4:4A:D0	Fireflies Systems	MA-L	Fireflies	2010-12-22	IEEE+Wireshark+Nmap
88:E0:A0	Shenzhen VisionSTOR Technologies Co., Ltd	MA-L	VisionSTORTe	2010-12-22	IEEE+Wireshark+Nmap
FC:10:BD	Control Sistematizado S.A.	MA-L	ControlSiste	2010-12-21	IEEE+Wireshark+Nmap
F8:7B:8C	Amped Wireless	MA-L	AmpedWireles	2010-12-10	IEEE+Wireshark+Nmap
24:1A:8C	Squarehead Technology AS	MA-L	SquareheadTe	2010-12-07	IEEE+Wireshark+Nmap
D4:4F:80	Kemper Digital GmbH	MA-L	KemperDigita	2010-12-04	IEEE+Wireshark+Nmap
08:E6:72	Jebsee Electronics Co.,Ltd.	MA-L	JebseeElectr	2010-11-30	IEEE+Wireshark+Nmap
B8:E5:89	Payter BV	MA-L	Payter	2010-11-27	IEEE+Wireshark+Nmap
EC:7D:9D	Cpi	MA-L	Cpi	2011-01-05	IEEE+Wireshark+Nmap
C8:1E:8E	ADV Security (S) Pte Ltd	MA-L	ADVSecurityP	2011-01-05	IEEE+Wireshark+Nmap
A8:87:92	Broadband Antenna Tracking Systems	MA-L	BroadbandAnt	2011-01-05	IEEE+Wireshark+Nmap
04:E6:62	Acroname Inc.	MA-L	Acroname	2010-12-30	IEEE+Wireshark+Nmap
64:DC:01	Static Systems Group PLC	MA-L	StaticGroup	2010-11-12	IEEE+Wireshark+Nmap
60:76:88	Velodyne	MA-L	Velodyne	2010-11-11	IEEE+Wireshark+Nmap
78:CD:8E	SMC Networks Inc	MA-L	SMCNetworks	2010-11-10	IEEE+Wireshark+Nmap
C8:C1:26	ZPM Industria e Comercio Ltda	MA-L	ZPMIndustria	2010-11-23	IEEE+Wireshark+Nmap
64:DE:1C	Kingnetic Pte Ltd	MA-L	KingneticPte	2010-11-23	IEEE+Wireshark+Nmap
A8:62:A2	Jiwumedia Co., Ltd.	MA-L	Jiwumedia	2010-11-16	IEEE+Wireshark+Nmap
98:4E:97	Starlight Marketing (H. K.) Ltd.	MA-L	StarlightMar	2010-11-16	IEEE+Wireshark+Nmap
78:A6:83	Precidata	MA-L	Precidata	2010-11-04	IEEE+Wireshark+Nmap
FC:1F:C0	Eurecam	MA-L	Eurecam	2010-11-04	IEEE+Wireshark+Nmap
BC:67:84	Environics Oy	MA-L	Environics	2010-11-03	IEEE+Wireshark+Nmap
B4:C4:4E	VXL eTech Pvt Ltd	MA-L	VXLeTech	2010-10-22	IEEE+Wireshark+Nmap
68:DC:E8	PacketStorm Communications	MA-L	PacketStormC	2010-11-02	IEEE+Wireshark+Nmap
48:8E:42	DIGALOG GmbH	MA-L	DIGALOG	2010-11-02	IEEE+Wireshark+Nmap
2C:80:65	HARTING Inc. of North America	MA-L	HARTINGNorth	2010-11-06	IEEE+Wireshark+Nmap
3C:C0:C6	d&b audiotechnik GmbH	MA-L	d&baudiotech	2010-11-05	IEEE+Wireshark+Nmap
44:68:AB	Juin Company, Limited	MA-L	Juin	2010-11-20	IEEE+Wireshark+Nmap
70:7E:DE	Nastec Ltd.	MA-L	Nastec	2010-10-21	IEEE+Wireshark+Nmap
E0:5F:B9	Cisco Systems, Inc	MA-L	Cisco	2010-10-21	IEEE+Wireshark+Nmap
F0:25:72	Cisco Systems, Inc	MA-L	Cisco	2010-09-30	IEEE+Wireshark+Nmap
04:FF:51	Novamedia Innovision Sp. Z O.O.	MA-L	NovamediaInn	2010-09-30	IEEE+Wireshark+Nmap
4C:B4:EA	Hrd (S) Pte., Ltd.	MA-L	HrdPte	2010-09-30	IEEE+Wireshark+Nmap
D4:4C:24	Vuppalamritha Magnetic Components LTD	MA-L	Vuppalamrith	2010-09-30	IEEE+Wireshark+Nmap
80:91:C0	AgileMesh, Inc.	MA-L	AgileMesh	2010-09-30	IEEE+Wireshark+Nmap
08:4E:BF	Sumitomo Electric Industries, Ltd	MA-L	SumitomoElec	2010-09-28	IEEE+Wireshark+Nmap
AC:02:CF	RW Tecnologia Industria e Comercio Ltda	MA-L	RWTecnologia	2010-09-25	IEEE+Wireshark+Nmap
F8:C6:78	Carefusion	MA-L	Carefusion	2010-10-12	IEEE+Wireshark+Nmap
6C:AB:4D	Digital Payment Technologies	MA-L	DigitalPayme	2010-10-09	IEEE+Wireshark+Nmap
2C:B0:DF	Soliton Technologies Pvt Ltd	MA-L	SolitonTechn	2010-10-09	IEEE+Wireshark+Nmap
EC:E5:55	Hirschmann Automation	MA-L	HirschmannAu	2010-10-09	IEEE+Wireshark+Nmap
58:F9:8E	SECUDOS GmbH	MA-L	SECUDOS	2010-10-08	IEEE+Wireshark+Nmap
B4:74:9F	Askey Computer Corp	MA-L	AskeyCompute	2010-10-07	IEEE+Wireshark+Nmap
7C:4A:A8	MindTree Wireless PVT Ltd	MA-L	MindTreeWire	2010-10-06	IEEE+Wireshark+Nmap
E0:14:3E	Modoosis Inc.	MA-L	Modoosis	2010-10-06	IEEE+Wireshark+Nmap
C0:7E:40	Shenzhen Xdk Communication Equipment Co.,Ltd	MA-L	XdkCommunica	2010-10-14	IEEE+Wireshark+Nmap
E4:4F:29	MA Lighting Technology GmbH	MA-L	MALightingTe	2010-10-13	IEEE+Wireshark+Nmap
1C:7C:11	Eid	MA-L	Eid	2010-09-17	IEEE+Wireshark+Nmap
48:17:4C	MicroPower technologies	MA-L	MicroPowerte	2010-09-14	IEEE+Wireshark+Nmap
90:50:7B	Advanced PANMOBIL Systems GmbH & Co. KG	MA-L	AdvancedPANM	2010-09-18	IEEE+Wireshark+Nmap
20:AA:25	Ip-Net Llc	MA-L	IpNet	2010-08-12	IEEE+Wireshark+Nmap
34:9A:0D	ZBD Displays Ltd	MA-L	ZBDDisplays	2010-09-10	IEEE+Wireshark+Nmap
D4:12:96	Anobit Technologies Ltd.	MA-L	AnobitTechno	2010-09-03	IEEE+Wireshark+Nmap
08:76:FF	Thomson Telecom Belgium	MA-L	ThomsonTelec	2010-09-02	IEEE+Wireshark+Nmap
90:D8:52	Comtec Co., Ltd.	MA-L	Comtec	2010-08-28	IEEE+Wireshark+Nmap
38:01:97	TSST Global,Inc	MA-L	TSSTGlobal	2010-08-28	IEEE+Wireshark+Nmap
58:8D:09	Cisco Systems, Inc	MA-L	Cisco	2010-08-18	IEEE+Wireshark+Nmap
C0:C1:C0	Cisco-Linksys, LLC	MA-L	CiscoLinksys	2010-08-17	IEEE+Wireshark+Nmap
00:34:F1	Radicom Research, Inc.	MA-L	RadicomResea	2010-08-05	IEEE+Wireshark+Nmap
60:15:C7	IdaTech	MA-L	IdaTech	2010-08-11	IEEE+Wireshark+Nmap
DC:20:08	ASD Electronics Ltd	MA-L	ASDElectroni	2010-08-10	IEEE+Wireshark+Nmap
A4:D1:D1	ECOtality North America	MA-L	ECOtalityNor	2010-07-20	IEEE+Wireshark+Nmap
C4:93:13	100fio networks technology llc	MA-L	100fionetwor	2010-07-20	IEEE+Wireshark+Nmap
68:59:7F	Alcatel Lucent	MA-L	AlcatelLucen	2010-07-20	IEEE+Wireshark+Nmap
F0:65:DD	Primax Electronics Ltd.	MA-L	PrimaxElectr	2010-07-17	IEEE+Wireshark+Nmap
70:65:82	Suzhou Hanming Technologies Co., Ltd.	MA-L	SuzhouHanmin	2010-07-16	IEEE+Wireshark+Nmap
C4:B5:12	General Electric Digital Energy	MA-L	GeneralElect	2010-07-29	IEEE+Wireshark+Nmap
E0:25:38	Titan Pet Products	MA-L	TitanPetProd	2010-07-29	IEEE+Wireshark+Nmap
